Prefix       ; Length ; Type       ; Tariff        ; Operator   ; Format                        ; Regions ; Geocode:en              ; Provenance
11[0-3]      ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
1140         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Kango"
114[139]     ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
11420        ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Ntoum"
1142[1-35-9] ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
11424        ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Cocobeach"
114[4-8]     ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Libreville"
1150         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Gamba"
115[1-37]    ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
1154         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Omboué"
115[56]      ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Port-Gentil"
1158         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Lambaréné"
1159         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Ndjolé"
1160         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Ngouoni"
116[138]     ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
1162         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Mounana"
1164         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Lastoursville"
1165         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Koulamoutou"
1166         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Moanda"
1167         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Franceville"
1169         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Léconi/Akiéni/Okondja"
117          ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Libreville"
118[01457-9] ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
1182         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Tchibanga"
1183         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Mayumba"
1186         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Mouila"
1190         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Makokou"
119[14579]   ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"
1192         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Mékambo"
1193         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Booué"
1196         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Bitam"
1198         ; 8      ; FIXED_LINE ; STANDARD_RATE ;            ; "new_8_digit_2/2/2/2"         ; "GA"    ; "Oyem"
60[0-4]      ; 8      ; MOBILE     ; STANDARD_RATE ; "libertis" ; "new_8_digit_2/2/2/2"         ; "GA"    ;                         ; IR21
610          ; 8      ; MOBILE     ; STANDARD_RATE ; "libertis" ; "new_8_digit_2/2/2/2"         ; "GA"    ;                         ; IR21
6[26]        ; 8      ; MOBILE     ; STANDARD_RATE ; "libertis" ; "new_8_digit_2/2/2/2"         ; "GA"
65           ; 8      ; MOBILE     ; STANDARD_RATE ; "moov"     ; "new_8_digit_2/2/2/2"         ; "GA"
7[467]       ; 8      ; MOBILE     ; STANDARD_RATE ; "airtel"   ; "new_8_digit_2/2/2/2"         ; "GA"
